,brand,product_name,product_propablity,product_detail,RRP,price,rating,product_code,stock_info,product_description
4982,DALER ROWNEY , LANGTON , 9X12IN , WATERCOLOR PAPER PAD ,18.06,12.13,,PLS12N,In Stock Online, 9X12IN  WATERCOLOR PAPER PAD  300GSM 
4983,DALER ROWNEY , LANGTON , 10X14IN , WATERCOLOR PAPER PAD ,22.03,14.78,,PLS14N,In Stock Online, 10X14IN  WATERCOLOR PAPER PAD  300GSM 
4984,KHADI , HANDMADE WHITE RAG PAPER , 210GSM , ROUGH ,3.68,2.87,93.3333,PKR1W,Awaiting Stock - Due: 02-04-2020, 210GSM  ROUGH  56X76CM
4985,KHADI , WHITE RAG LANDSCAPE PAPER , 320GSM , ROUGH ,53.35,37.49,,PKRL2W/20,Awaiting Stock - Due: 02-04-2020, 320GSM  ROUGH  35X70CM 
4986,KHADI , DOUBLE ELEPHANT PAPER , 320GSM , SMOOTH ,96.06,70.57,,PKS12W/10,Awaiting Stock - Due: 02-04-2020, 320GSM  SMOOTH  70X100CM 
4987,KHADI , HANDMADE WHITE RAG PAPER , 210GSM , SMOOTH ,3.68,2.87,,PKS1W,Awaiting Stock - Due: 02-04-2020, 210GSM  SMOOTH  56X76CM
4988,KHADI , HANDMADE WHITE RAG PAPER , 320GSM , SMOOTH ,47.0,34.18,100.0,PKS2W/10,Awaiting Stock - Due: 04-04-2020, 320GSM  SMOOTH  56X76CM 
4989,KHADI , HANDMADE WHITE RAG PAPER , 320GSM , SMOOTH ,4.7,3.64,,PKS2W,Awaiting Stock - Due: 04-04-2020, 320GSM  SMOOTH  56X76CM
4990,KHADI , HANDMADE WHITE RAG PAPER , 640GSM , SMOOTH ,143.53,99.24,,PKS4W/20,Awaiting Stock - Due Soon, 640GSM  SMOOTH  56X76CM 
4991,KHADI , HANDMADE WHITE RAG PAPER , 640GSM , SMOOTH ,71.77,51.82,80.0,PKS4W/10,Low Stock, 640GSM  SMOOTH  56X76CM 
4992,KHADI , HANDMADE WHITE RAG PAPER , 210GSM , ROUGH ,73.67,51.82,,PKR1W/20,Awaiting Stock - Due: 02-04-2020, 210GSM  ROUGH  56X76CM 
4993,KHADI , HANDMADE WHITE RAG PAPER , 320GSM , ROUGH ,4.7,3.64,,PKR2W,Awaiting Stock - Due: 02-04-2020, 320GSM  ROUGH  56X76CM
4994,KHADI , HANDMADE WHITE RAG PAPER , 1000GSM , ROUGH ,125.12,90.41,,PKR5W/10,Awaiting Stock - Due: 29-03-2020, 1000GSM  ROUGH  56X76CM 
4995,KHADI , HANDMADE WHITE RAG PAPER , 1000GSM , ROUGH ,250.23,173.11,,PKR5W/20,Awaiting Stock - Due: 29-03-2020, 1000GSM  ROUGH  56X76CM 
4996,KHADI , HANDMADE WHITE RAG PAPER , 1000GSM , ROUGH ,12.52,9.48,,PKR5W,Awaiting Stock - Due Soon, 1000GSM  ROUGH  56X76CM
4997,DALER ROWNEY , LANGTON , 9X12IN , WATERCOLOR PAPER ,20.64,13.78,,PL212,In Stock Online, 9X12IN  WATERCOLOR PAPER  SPIRAL PAD 
4998,KHADI , HANDMADE WHITE RAG PAPER , 320GSM , ROUGH ,94.0,65.05,,PKR2W/20,Awaiting Stock - Due: 02-04-2020, 320GSM  ROUGH  56X76CM 
4999,KHADI , HANDMADE WHITE RAG PAPER , 210GSM , ROUGH ,36.84,27.01,,PKR1W/10,Awaiting Stock - Due: 02-04-2020, 210GSM  ROUGH  56X76CM 
5000,KHADI , HANDMADE WHITE RAG PAPER , 640GSM , ROUGH ,7.17,5.4,,PKR4W,Awaiting Stock - Due: 04-04-2020, 640GSM  ROUGH  56X76CM
5001,KHADI , WHITE RAG LANDSCAPE PAPER , 320GSM , ROUGH ,26.67,19.3,100.0,PKRL2W/10,Awaiting Stock - Due: 02-04-2020, 320GSM  ROUGH  35X70CM 
5002,KHADI , WHITE RAG LANDSCAPE PAPER , 320GSM , ROUGH ,2.67,2.09,,PKRL2W,Awaiting Stock - Due: 02-04-2020, 320GSM  ROUGH  35X70CM
