,brand,product_name,product_propablity,product_detail,RRP,price,rating,product_code,stock_info,product_description
0,ESCODA , WATERCOLOR TRAVEL BRUSH SET , RESERVA , SERIES 1240 ,282.79,199.57,,BE1240,In Stock Online, RESERVA  SERIES 1240  SET OF 6
1,SILVER BRUSH , BLACK VELVET , VOYAGE TRAVEL BRUSH , SERIES 3100ST ,170.75,94.83,100.0,BS3100STS4,In Stock Online, VOYAGE TRAVEL BRUSH  SERIES 3100ST  ROUND 
2,SILVER BRUSH , RUBY SATIN , SYNTHETIC BRUSH , SHORT HANDLE ,91.43,55.13,100.0,BSS2573S,In Stock Online, SYNTHETIC BRUSH  SHORT HANDLE  JUMBO BRIGHT SET OF 3
3,SILVER BRUSH , RUBY SATIN , SYNTHETIC BRUSH , SHORT HANDLE ,110.15,66.16,,BSS2560S,In Stock Online, SYNTHETIC BRUSH  SHORT HANDLE  STARTER SET OF 6
4,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , LINER ,62.78,38.59,80.0,BSS2406S,In Stock Online, GOLDEN TAKLON BRUSH  LINER  SET OF 6
5,SILVER BRUSH , RUBY SATIN , SYNTHETIC BRUSH , SHORT HANDLE ,63.84,38.59,,BSS2540S,In Stock Online, SYNTHETIC BRUSH  SHORT HANDLE  BASIC SET OF 4
6,SILVER BRUSH , RUBY SATIN , SYNTHETIC BRUSH , LONG HANDLE ,62.78,38.59,,BSS2504,In Stock Online, SYNTHETIC BRUSH  LONG HANDLE  SET OF 4
7,ESCODA , WATERCOLOR TRAVEL BRUSH SET , ULTIMO , SERIES 1255 ,74.6,52.93,,BETS12553,In Stock Online, ULTIMO  SERIES 1255  SET OF 3
8,ESCODA , WATERCOLOR TRAVEL BRUSH SET , VERSATIL , SERIES 1252 ,81.39,57.34,84.0,BETS12523,In Stock Online, VERSATIL  SERIES 1252  SET OF 3
9,ESCODA , WATERCOLOR TRAVEL BRUSH SET , RESERVA , SERIES 1250 ,129.3,91.52,,BETS12503,In Stock Online, RESERVA  SERIES 1250  SET OF 3
10,STUDIO ESSENTIALS , CHINESE PAINTING , BAMBOO BRUSH PEN , MEDIUM ,3.31,,,BC804,In Stock Online, BAMBOO BRUSH PEN  MEDIUM  BRUSH ON ONE END 
11,JACKSON'S , PURE SQUIRREL MOP BRUSH , SERIES 828 , SET OF 2 ,33.08,,,BJSET007,In Stock Online, SERIES 828  SET OF 2  SIZE 6 AND 10
12,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,24.21,14.55,,BS3008S1/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
13,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,63.44,38.59,,BS3008S1,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
14,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3007S ,17.33,10.48,,BS3007S4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3007S  SCRIPT LINER 
15,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3007S ,23.02,13.89,,BS3007S8,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3007S  SCRIPT LINER 
16,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3007S ,20.64,12.46,,BS3007S6,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3007S  SCRIPT LINER 
17,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3007S ,15.41,9.26,100.0,BS3007S1,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3007S  SCRIPT LINER 
18,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3000S ,29.18,17.53,,BS3000S8,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3000S  ROUND 
19,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3000S ,21.96,13.23,,BS3000S6,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3000S  ROUND 
20,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3000S ,16.01,9.7,100.0,BS3000S4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3000S  ROUND 
21,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,97.58,59.54,,BS3008S11/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
22,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,109.75,66.16,100.0,BS3008S11/2,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
23,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,35.2,21.17,,BS3008S1/2,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
24,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3012S ,22.1,13.34,100.0,BS3012S1/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3012S  DAGGER STRIPER 
25,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3014S ,156.79,94.83,,BS3014S2,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3014S  WIDE WASH BLENDER 
26,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3025S ,96.92,58.44,,BS3025LG,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3025S  JUMBO ROUND WASH 
27,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3009S ,51.54,31.42,,BS3009S3/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3009S  OVAL WASH 
28,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3008S ,50.21,30.32,100.0,BS3008S3/4,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3008S  SQUARE WASH 
29,SILVER BRUSH , BLACK VELVET , SQUIRREL & RISSLON BRUSH , SERIES 3009S ,72.11,44.1,,BS3009S1,In Stock Online, SQUIRREL & RISSLON BRUSH  SERIES 3009S  OVAL WASH 
30,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , FAN ,18.64,9.81,,BS40046,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  FAN  SIZE 6
31,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , ANGLE ,18.64,9.81,,BS40061/2,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  ANGLE  SIZE 1/2IN
32,SILVER BRUSH , ART SHERPA , SHORT HANDLE WHITE TAKLON BRUSH , ROUND ,9.65,5.07,,BS4100S1,In Stock Online, SHORT HANDLE WHITE TAKLON BRUSH  ROUND  SIZE 1
33,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , CATS TONGUE ,17.58,9.26,,BS40104,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  CATS TONGUE  SIZE 4
34,SILVER BRUSH , ART SHERPA , SHORT HANDLE WHITE TAKLON BRUSH , FILBERT ,10.97,5.84,,BS4103S2,In Stock Online, SHORT HANDLE WHITE TAKLON BRUSH  FILBERT  SIZE 2
35,SILVER BRUSH , ART SHERPA , SHORT HANDLE WHITE TAKLON BRUSH , ROUND ,9.38,4.96,,BS4100S3/0,In Stock Online, SHORT HANDLE WHITE TAKLON BRUSH  ROUND  SIZE 3/0
36,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , CATS TONGUE ,31.87,16.76,,BS40108,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  CATS TONGUE  SIZE 8
37,SILVER BRUSH , ART SHERPA , SHORT HANDLE WHITE TAKLON BRUSH , CLOUD ,9.91,5.29,,BS4153S4,In Stock Online, SHORT HANDLE WHITE TAKLON BRUSH  CLOUD  SIZE 4
38,SILVER BRUSH , ART SHERPA , SHORT HANDLE WHITE TAKLON BRUSH , CLOUD ,10.97,5.84,,BS4153S6,In Stock Online, SHORT HANDLE WHITE TAKLON BRUSH  CLOUD  SIZE 6
39,SILVER BRUSH , ART SHERPA , SHORT HANDLE WHITE TAKLON BRUSH , CLOUD ,13.22,6.95,,BS4153S8,In Stock Online, SHORT HANDLE WHITE TAKLON BRUSH  CLOUD  SIZE 8
40,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,58.15,30.87,,BS711012,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 12
41,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,35.46,18.63,,BS190010,In Stock Online, SERIES 1900  ROUND  SIZE 10
42,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,46.51,24.81,,BS190012,In Stock Online, SERIES 1900  ROUND  SIZE 12
43,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,17.93,9.48,,BS19004,In Stock Online, SERIES 1900  ROUND  SIZE 4
44,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,12.57,6.62,,BS19010,In Stock Online, SERIES 1901  FLAT  SIZE 0
45,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,12.7,6.73,,BS19011,In Stock Online, SERIES 1901  FLAT  SIZE 1
46,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,12.57,6.62,,BS19020,In Stock Online, SERIES 1902  BRIGHT  SIZE 0
47,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,11.58,6.18,,BS190100,In Stock Online, SERIES 1901  FLAT  SIZE 2/0
48,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,28.51,15.0,,BS19018,In Stock Online, SERIES 1901  FLAT  SIZE 8
49,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,35.46,18.63,,BS190110,In Stock Online, SERIES 1901  FLAT  SIZE 10
50,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,22.63,11.91,,BS19006,In Stock Online, SERIES 1900  ROUND  SIZE 6
51,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,14.69,7.72,100.0,BS19012,Awaiting Stock - Due: 01-04-2020, SERIES 1901  FLAT  SIZE 2
52,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,46.71,24.81,,BS190112,In Stock Online, SERIES 1901  FLAT  SIZE 12
53,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,22.29,11.8,,BS19016,In Stock Online, SERIES 1901  FLAT  SIZE 6
54,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1901 , FLAT ,17.93,9.48,,BS19014,Low Stock, SERIES 1901  FLAT  SIZE 4
55,SILVER BRUSH , JUMBO BRUSH , SERIES 8000 , ROUND ,16.54,8.71,100.0,BS800030,In Stock Online, SERIES 8000  ROUND  SIZE 30
56,SILVER BRUSH , JUMBO BRUSH , SERIES 8000 , ROUND ,19.85,10.48,,BS800040,In Stock Online, SERIES 8000  ROUND  SIZE 40
57,SILVER BRUSH , JUMBO BRUSH , SERIES 8000 , ROUND ,27.52,14.55,,BS800050,In Stock Online, SERIES 8000  ROUND  SIZE 50
58,SILVER BRUSH , JUMBO BRUSH , SERIES 8001 , FLAT ,16.54,8.71,,BS800130,In Stock Online, SERIES 8001  FLAT  SIZE 30
59,SILVER BRUSH , JUMBO BRUSH , SERIES 8003 , FILBERT ,19.85,10.48,,BS800340,In Stock Online, SERIES 8003  FILBERT  SIZE 40
60,SILVER BRUSH , JUMBO BRUSH , SERIES 8003 , FILBERT ,16.54,8.71,,BS800330,Awaiting Stock - Due Soon, SERIES 8003  FILBERT  SIZE 30
61,SILVER BRUSH , JUMBO BRUSH , SERIES 8003 , FILBERT ,27.52,14.55,,BS800350,In Stock Online, SERIES 8003  FILBERT  SIZE 50
62,SILVER BRUSH , JUMBO BRUSH , SERIES 8006 , ANGLE ,19.85,10.48,,BS800630,In Stock Online, SERIES 8006  ANGLE  SIZE 30
63,SILVER BRUSH , JUMBO BRUSH , SERIES 8006 , ANGLE ,25.34,13.34,,BS800640,In Stock Online, SERIES 8006  ANGLE  SIZE 40
64,SILVER BRUSH , JUMBO BRUSH , SERIES 8001 , FLAT ,27.52,14.55,,BS800150,In Stock Online, SERIES 8001  FLAT  SIZE 50
65,SILVER BRUSH , JUMBO BRUSH , SERIES 8001 , FLAT ,19.85,10.48,,BS800140,In Stock Online, SERIES 8001  FLAT  SIZE 40
66,SILVER BRUSH , JUMBO BRUSH , SERIES 8006 , ANGLE ,30.83,16.21,,BS800650,Low Stock, SERIES 8006  ANGLE  SIZE 50
67,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1907 , SCRIPT LINER ,12.7,6.73,,BS19076,In Stock Online, SERIES 1907  SCRIPT LINER  SIZE 6
68,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1912 , DAGGER STRIPER ,17.07,9.04,,BS19121/4,In Stock Online, SERIES 1912  DAGGER STRIPER  SIZE 1/4IN
69,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1912 , DAGGER STRIPER ,21.96,11.58,,BS19123/8,In Stock Online, SERIES 1912  DAGGER STRIPER  SIZE 3/8IN
70,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1934 , LONG FILBERT ,28.58,15.11,,BS19348,In Stock Online, SERIES 1934  LONG FILBERT  SIZE 8
71,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,12.7,6.73,,BS19000,In Stock Online, SERIES 1900  ROUND  SIZE 0
72,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,14.89,7.83,,BS19003,In Stock Online, SERIES 1900  ROUND  SIZE 3
73,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,14.75,7.83,,BS19002,In Stock Online, SERIES 1900  ROUND  SIZE 2
74,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,13.63,7.17,,BS19001,In Stock Online, SERIES 1900  ROUND  SIZE 1
75,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,10.98,5.84,,BS190000,In Stock Online, SERIES 1900  ROUND  SIZE 2/0
76,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,15.88,8.38,,BS19030,In Stock Online, SERIES 1903  FILBERT  SIZE 0
77,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,28.71,15.11,100.0,BS19028,In Stock Online, SERIES 1902  BRIGHT  SIZE 8
78,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,31.76,16.76,,BS19038,In Stock Online, SERIES 1903  FILBERT  SIZE 8
79,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,25.27,13.34,,BS19036,In Stock Online, SERIES 1903  FILBERT  SIZE 6
80,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1900 , ROUND ,28.84,15.22,,BS19008,In Stock Online, SERIES 1900  ROUND  SIZE 8
81,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,11.58,6.18,,BS190200,In Stock Online, SERIES 1902  BRIGHT  SIZE 2/0
82,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1907 , SCRIPT LINER ,11.58,6.18,,BS19074,In Stock Online, SERIES 1907  SCRIPT LINER  SIZE 4
83,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,35.66,18.74,,BS190210,In Stock Online, SERIES 1902  BRIGHT  SIZE 10
84,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,46.51,24.81,,BS190212,In Stock Online, SERIES 1902  BRIGHT  SIZE 12
85,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,20.91,11.03,,BS19034,In Stock Online, SERIES 1903  FILBERT  SIZE 4
86,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,17.6,9.26,,BS19033,In Stock Online, SERIES 1903  FILBERT  SIZE 3
87,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,17.13,9.04,,BS19032,In Stock Online, SERIES 1903  FILBERT  SIZE 2
88,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,17.93,9.48,,BS19024,In Stock Online, SERIES 1902  BRIGHT  SIZE 4
89,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,26.6,14.0,,BS19026,In Stock Online, SERIES 1902  BRIGHT  SIZE 6
90,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,14.75,7.83,,BS19022,In Stock Online, SERIES 1902  BRIGHT  SIZE 2
91,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,40.82,21.5,,BS190310,In Stock Online, SERIES 1903  FILBERT  SIZE 10
92,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,53.98,28.67,,BS190312,In Stock Online, SERIES 1903  FILBERT  SIZE 12
93,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1934 , LONG FILBERT ,14.89,7.83,,BS19342,In Stock Online, SERIES 1934  LONG FILBERT  SIZE 2
94,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1934 , LONG FILBERT ,18.52,9.81,,BS19344,In Stock Online, SERIES 1934  LONG FILBERT  SIZE 4
95,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1934 , LONG FILBERT ,22.36,11.8,,BS19346,In Stock Online, SERIES 1934  LONG FILBERT  SIZE 6
96,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1902 , BRIGHT ,12.7,6.73,,BS19021,In Stock Online, SERIES 1902  BRIGHT  SIZE 1
97,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,12.7,6.73,,BS190300,In Stock Online, SERIES 1903  FILBERT  SIZE 2/0
98,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1903 , FILBERT ,16.34,8.6,,BS19031,In Stock Online, SERIES 1903  FILBERT  SIZE 1
99,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1907 , SCRIPT LINER ,10.98,5.84,,BS19072,In Stock Online, SERIES 1907  SCRIPT LINER  SIZE 2
100,SILVER BRUSH , BRISTLON SYNTHETIC BRUSH , SERIES 1907 , SCRIPT LINER ,10.45,5.51,,BS19070,In Stock Online, SERIES 1907  SCRIPT LINER  SIZE 0
101,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,105.98,56.23,,BS711020,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 20
102,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,38.77,20.4,,BS71108,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 8
103,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , BRIGHT ,18.25,9.59,,BS40026,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  BRIGHT  SIZE 6
104,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , BRIGHT ,10.97,5.84,,BS40022,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  BRIGHT  SIZE 2
105,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , ROUND ,14.28,7.5,100.0,BS40004,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  ROUND  SIZE 4
106,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , BRIGHT ,69.19,36.39,,BS400230,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  BRIGHT  SIZE 30
107,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , BRIGHT ,31.35,16.54,,BS400210,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  BRIGHT  SIZE 10
108,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , BRIGHT ,13.75,7.28,,BS40024,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  BRIGHT  SIZE 4
109,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , BRIGHT ,21.95,11.58,,BS40028,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  BRIGHT  SIZE 8
110,SILVER BRUSH , ART SHERPA , LONG HANDLE WHITE TAKLON BRUSH , FAN ,15.34,8.16,100.0,BS40044,In Stock Online, LONG HANDLE WHITE TAKLON BRUSH  FAN  SIZE 4
111,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,50.94,27.01,,BS711010,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 10
112,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,17.66,9.37,100.0,BS71104,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 4
113,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,23.42,12.35,,BS71106,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 6
114,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,91.43,48.52,100.0,BS711018,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 18
115,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,14.69,7.83,,BS71102,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 2
116,SILVER BRUSH , RENAISSANCE RED SABLE OIL BRUSH , LONG HANDLE , CATS TONGUE ,13.43,7.06,,BS71101,In Stock Online, LONG HANDLE  CATS TONGUE  SIZE 1
117,DA VINCI , SPIN , SYNTHETIC , TRAVEL BRUSH SET IN CASE ,86.4,62.85,,BVS1573,In Stock Online, SYNTHETIC  TRAVEL BRUSH SET IN CASE  SERIES 1573 
118,DA VINCI , MICRO MAESTRO , KOLINSKY RED SABLE BRUSH , SERIES 100 ,50.68,37.49,,BV4210,In Stock Online, KOLINSKY RED SABLE BRUSH  SERIES 100  SET OF 4
119,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2400S ,10.52,6.39,,BS2400S12/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2400S  POINTED ROUND 
120,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2400S ,10.52,6.39,,BS2400S20/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2400S  POINTED ROUND 
121,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2403S ,10.52,6.39,,BS2403S10/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2403S  FILBERT 
122,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2404S ,12.77,7.72,,BS2404S20/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2404S  FAN 
123,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2404S ,12.77,7.72,,BS2404S12/0,Awaiting Stock - Due: 01-04-2020, GOLDEN TAKLON BRUSH  SERIES 2404S  FAN 
124,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2406S ,11.05,6.73,,BS2406S12/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2406S  ANGULAR 
125,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2411S ,11.31,6.84,,BS2411S15/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2411S  LETTERING 
126,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2411S ,11.71,7.06,,BS2411S10/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2411S  LETTERING 
127,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2407S ,11.05,6.73,,BS2407S10/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2407S  SCRIPT LINER 
128,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2407S ,11.05,6.73,,BS2407S20/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2407S  SCRIPT LINER 
129,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2411S ,11.31,6.84,,BS2411S20/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2411S  LETTERING 
130,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2411S ,13.89,8.38,,BS2411S5/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2411S  LETTERING 
131,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2417S ,10.52,6.39,,BS2417S20/0,Awaiting Stock - Due Soon, GOLDEN TAKLON BRUSH  SERIES 2417S  SPOTTER 
132,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2420S ,10.52,6.39,,BS2420S10/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2420S  SHADER 
133,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2426S ,11.71,7.06,,BS2426S10/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2426S  XTRA LONG LINER 
134,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2422S ,11.31,6.84,,BS2422S20/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2422S  MONOGRAM LINER 
135,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2424S ,11.71,7.06,,BS2424S12/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2424S  GRASS COMB 
136,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2426S ,11.71,7.06,,BS2426S20/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2426S  XTRA LONG LINER 
137,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2426S ,11.71,7.06,,BS2426S7/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2426S  XTRA LONG LINER 
138,SILVER BRUSH , ULTRA MINI , GOLDEN TAKLON BRUSH , SERIES 2430S ,12.9,7.83,,BS2430S10/0,In Stock Online, GOLDEN TAKLON BRUSH  SERIES 2430S  TEAR DROP 
